name,rank,charter,consolidated_assets
CAMBRIDGE TC/CAMBRIDGE BC ,240,SNM,4253
COMMUNITY BK OF MS/COMMUNITY BSHRS ESOP ,241,SNM,4244
EQUITY BK/EQUITY BSHRS ,242,SMB,4197
BANK OF STOCKTON/1867 WESTERN FC ,243,SNM,4194
FIRST INTERNET BK IN/FIRST INTERNET BC ,244,SNM,4186
GREEN DOT BK/GREEN DOT CORP ,245,SMB,4163
CARTER BK & TR/CARTER BSHRS ,246,SNM,4142
COMMUNITYBANK TX NA/HILLISTER ENT II ,247,NAT,4029
HILLS B&TC/HILLS BC ,248,SNM,4001
HINSDALE B&TC NA/WINTRUST FC ,249,NAT,3987
CTBC BK CORP USA/CTBC CAP CORP ,250,SNM,3969
CENTRAL BK OF THE MW/CENTRAL BANCOMPANY INC ,251,SMB,3955
CAPITAL CITY BK/CAPITAL CITY BK GRP ,252,SMB,3924
SOUTHERN B&TC/SOUTHERN BSHRS NC ,253,SNM,3924
CANANDAIGUA NB&TC/CANANDAIGUA NAT CORP ,254,NAT,3895
DBA FIRST CONVENIENCE BK/FIRST CMNTY BSHRS ,255,NAT,3890
HEARTLAND B&TC/HBT FNCL ,256,SNM,3863
NORTHBROOK B&TC NA/WINTRUST FC ,257,NAT,3819
SUMITOMO MITSUI TR BK USA/ ,258,SNM,3804
RCB BK/RCB HC ,259,SMB,3794
FIRST B&T/FISHBACK FC ,260,SNM,3752
ATLANTIC CAP BK NA/ATLANTIC CAP BSHRS ,261,NAT,3732
CITY BK/SOUTH PLAINS FNCL ESOP ,262,SNM,3731
BAR HARBOR BK & TR CO/BAR HARBOR BSHRS ,263,SNM,3729
MANUFACTURERS BK/SMBC AMERS HOLDS ,264,SNM,3722
AMERICAN BUS BK/ ,265,SNM,3705
NORTHPOINTE BK/NORTHPOINTE BSHRS ,266,SNM,3685
INWOOD NB/INWOOD BSHRS ,267,NAT,3667
ROYAL BUS BK/RBB BC ,268,SNM,3663
INTERBANK/OLNEY BSHRS OF TX ,269,SMB,3662
